"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","IT.NET.USER.ZS","YR1990","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2001","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2002","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2003","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2004","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2005","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2006","Source: Ministry of Communications.",
"AFG","IT.NET.USER.ZS","YR2007","Source: ITU estimate.; ITU estimate.; ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2008","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2009","Source: Ministry of Communications & Information Technology",
"AFG","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2014","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AFG","IT.NET.USER.ZS","YR2016","Source: Asia Foundation;Note: 18+",
"AFG","IT.NET.USER.ZS","YR2017","Source: Asia Foundation;Note: 18+",
"AFG","SE.ADT.LITR.ZS","YR2018","UIS Estimation",
"AFG","SE.ENR.PRSC.FM.ZS","YR2001","Should be treated as NIL",
"AFG","SE.ENR.PRSC.FM.ZS","YR2003","UIS Estimation",
"AFG","SE.XPD.TOTL.GB.ZS","YR2016","UIS Estimation",
"AFG","SE.XPD.TOTL.GB.ZS","YR2017","UIS Estimation",
"AFG","SH.DYN.MORT","YR1962","Uncertainty bound is 299.4 - 399.3",
"AFG","SH.DYN.MORT","YR1963","Uncertainty bound is 296.7 - 389.9",
"AFG","SH.DYN.MORT","YR1964","Uncertainty bound is 293.1 - 380.4",
"AFG","SH.DYN.MORT","YR1965","Uncertainty bound is 289.1 - 372.5",
"AFG","SH.DYN.MORT","YR1966","Uncertainty bound is 284.8 - 366.3",
"AFG","SH.DYN.MORT","YR1967","Uncertainty bound is 280.1 - 360.1",
"AFG","SH.DYN.MORT","YR1968","Uncertainty bound is 275.4 - 354.1",
"AFG","SH.DYN.MORT","YR1969","Uncertainty bound is 270.8 - 347.9",
"AFG","SH.DYN.MORT","YR1970","Uncertainty bound is 266 - 342.3",
"AFG","SH.DYN.MORT","YR1971","Uncertainty bound is 260.9 - 336.4",
"AFG","SH.DYN.MORT","YR1972","Uncertainty bound is 256.2 - 330",
"AFG","SH.DYN.MORT","YR1973","Uncertainty bound is 251.7 - 323.7",
"AFG","SH.DYN.MORT","YR1974","Uncertainty bound is 246.7 - 317",
"AFG","SH.DYN.MORT","YR1975","Uncertainty bound is 241.6 - 309.8",
"AFG","SH.DYN.MORT","YR1976","Uncertainty bound is 236.9 - 302.7",
"AFG","SH.DYN.MORT","YR1977","Uncertainty bound is 232 - 295.1",
"AFG","SH.DYN.MORT","YR1978","Uncertainty bound is 226.8 - 287.7",
"AFG","SH.DYN.MORT","YR1979","Uncertainty bound is 221.6 - 280.7",
"AFG","SH.DYN.MORT","YR1980","Uncertainty bound is 216.2 - 273.6",
"AFG","SH.DYN.MORT","YR1981","Uncertainty bound is 210.8 - 266.2",
"AFG","SH.DYN.MORT","YR1982","Uncertainty bound is 205.5 - 258.4",
"AFG","SH.DYN.MORT","YR1983","Uncertainty bound is 200 - 250.3",
"AFG","SH.DYN.MORT","YR1984","Uncertainty bound is 194.7 - 242.4",
"AFG","SH.DYN.MORT","YR1985","Uncertainty bound is 189.5 - 234.5",
"AFG","SH.DYN.MORT","YR1986","Uncertainty bound is 184.1 - 226.1",
"AFG","SH.DYN.MORT","YR1987","Uncertainty bound is 178.8 - 218",
"AFG","SH.DYN.MORT","YR1988","Uncertainty bound is 173.5 - 209.9",
"AFG","SH.DYN.MORT","YR1989","Uncertainty bound is 167.9 - 202",
"AFG","SH.DYN.MORT","YR1990","Uncertainty bound is 162.5 - 194.3",
"AFG","SH.DYN.MORT","YR1991","Uncertainty bound is 157.6 - 186.9",
"AFG","SH.DYN.MORT","YR1992","Uncertainty bound is 152.6 - 180.2",
"AFG","SH.DYN.MORT","YR1993","Uncertainty bound is 147.8 - 173.9",
"AFG","SH.DYN.MORT","YR1994","Uncertainty bound is 143.1 - 168",
"AFG","SH.DYN.MORT","YR1995","Uncertainty bound is 138.7 - 162.6",
"AFG","SH.DYN.MORT","YR1996","Uncertainty bound is 134.7 - 157.3",
"AFG","SH.DYN.MORT","YR1997","Uncertainty bound is 130.8 - 152.4",
"AFG","SH.DYN.MORT","YR1998","Uncertainty bound is 127 - 147.9",
"AFG","SH.DYN.MORT","YR1999","Uncertainty bound is 123.2 - 143.5",
"AFG","SH.DYN.MORT","YR2000","Uncertainty bound is 119.6 - 138.9",
"AFG","SH.DYN.MORT","YR2001","Uncertainty bound is 115.8 - 134.6",
"AFG","SH.DYN.MORT","YR2002","Uncertainty bound is 111.9 - 130.2",
"AFG","SH.DYN.MORT","YR2003","Uncertainty bound is 108.1 - 125.8",
"AFG","SH.DYN.MORT","YR2004","Uncertainty bound is 104.2 - 121.2",
"AFG","SH.DYN.MORT","YR2005","Uncertainty bound is 100.3 - 116.5",
"AFG","SH.DYN.MORT","YR2006","Uncertainty bound is 96.3 - 112.1",
"AFG","SH.DYN.MORT","YR2007","Uncertainty bound is 92.3 - 107.6",
"AFG","SH.DYN.MORT","YR2008","Uncertainty bound is 88.3 - 103.5",
"AFG","SH.DYN.MORT","YR2009","Uncertainty bound is 84.2 - 99.5",
"AFG","SH.DYN.MORT","YR2010","Uncertainty bound is 80.3 - 95.8",
"AFG","SH.DYN.MORT","YR2011","Uncertainty bound is 76.4 - 92.3",
"AFG","SH.DYN.MORT","YR2012","Uncertainty bound is 72.3 - 89.1",
"AFG","SH.DYN.MORT","YR2013","Uncertainty bound is 68.5 - 86.1",
"AFG","SH.DYN.MORT","YR2014","Uncertainty bound is 64.5 - 83.4",
"AFG","SH.DYN.MORT","YR2015","Uncertainty bound is 60.7 - 80.9",
"AFG","SH.DYN.MORT","YR2016","Uncertainty bound is 57.1 - 78.6",
"AFG","SH.DYN.MORT","YR2017","Uncertainty bound is 53.7 - 76.8",
"AFG","SH.DYN.MORT","YR2018","Uncertainty bound is 50.6 - 75.4",
"AFG","SH.DYN.MORT","YR2019","Uncertainty bound is 47.4 - 74.6",
"AFG","SH.STA.OWAD.ZS","YR1975","Plausible bound is 3.8 - 9",
"AFG","SH.STA.OWAD.ZS","YR1976","Plausible bound is 4 - 9.3",
"AFG","SH.STA.OWAD.ZS","YR1977","Plausible bound is 4.2 - 9.5",
"AFG","SH.STA.OWAD.ZS","YR1978","Plausible bound is 4.5 - 9.7",
"AFG","SH.STA.OWAD.ZS","YR1979","Plausible bound is 4.7 - 9.9",
"AFG","SH.STA.OWAD.ZS","YR1980","Plausible bound is 5 - 10.2",
"AFG","SH.STA.OWAD.ZS","YR1981","Plausible bound is 5.3 - 10.5",
"AFG","SH.STA.OWAD.ZS","YR1982","Plausible bound is 5.5 - 10.7",
"AFG","SH.STA.OWAD.ZS","YR1983","Plausible bound is 5.8 - 11",
"AFG","SH.STA.OWAD.ZS","YR1984","Plausible bound is 6 - 11.3",
"AFG","SH.STA.OWAD.ZS","YR1985","Plausible bound is 6.3 - 11.6",
"AFG","SH.STA.OWAD.ZS","YR1986","Plausible bound is 6.6 - 11.9",
"AFG","SH.STA.OWAD.ZS","YR1987","Plausible bound is 6.9 - 12.3",
"AFG","SH.STA.OWAD.ZS","YR1988","Plausible bound is 7.2 - 12.6",
"AFG","SH.STA.OWAD.ZS","YR1989","Plausible bound is 7.5 - 12.9",
"AFG","SH.STA.OWAD.ZS","YR1990","Plausible bound is 7.8 - 13.3",
"AFG","SH.STA.OWAD.ZS","YR1991","Plausible bound is 8.1 - 13.6",
"AFG","SH.STA.OWAD.ZS","YR1992","Plausible bound is 8.5 - 14",
"AFG","SH.STA.OWAD.ZS","YR1993","Plausible bound is 8.8 - 14.4",
"AFG","SH.STA.OWAD.ZS","YR1994","Plausible bound is 9.1 - 14.8",
"AFG","SH.STA.OWAD.ZS","YR1995","Plausible bound is 9.5 - 15.2",
"AFG","SH.STA.OWAD.ZS","YR1996","Plausible bound is 9.8 - 15.6",
"AFG","SH.STA.OWAD.ZS","YR1997","Plausible bound is 10.2 - 16.1",
"AFG","SH.STA.OWAD.ZS","YR1998","Plausible bound is 10.6 - 16.5",
"AFG","SH.STA.OWAD.ZS","YR1999","Plausible bound is 11 - 17",
"AFG","SH.STA.OWAD.ZS","YR2000","Plausible bound is 11.4 - 17.4",
"AFG","SH.STA.OWAD.ZS","YR2001","Plausible bound is 11.8 - 18",
"AFG","SH.STA.OWAD.ZS","YR2002","Plausible bound is 12.2 - 18.4",
"AFG","SH.STA.OWAD.ZS","YR2003","Plausible bound is 12.6 - 18.9",
"AFG","SH.STA.OWAD.ZS","YR2004","Plausible bound is 13.1 - 19.5",
"AFG","SH.STA.OWAD.ZS","YR2005","Plausible bound is 13.5 - 20",
"AFG","SH.STA.OWAD.ZS","YR2006","Plausible bound is 14 - 20.6",
"AFG","SH.STA.OWAD.ZS","YR2007","Plausible bound is 14.4 - 21.2",
"AFG","SH.STA.OWAD.ZS","YR2008","Plausible bound is 14.9 - 21.8",
"AFG","SH.STA.OWAD.ZS","YR2009","Plausible bound is 15.4 - 22.4",
"AFG","SH.STA.OWAD.ZS","YR2010","Plausible bound is 15.8 - 23.1",
"AFG","SH.STA.OWAD.ZS","YR2011","Plausible bound is 16.3 - 23.9",
"AFG","SH.STA.OWAD.ZS","YR2012","Plausible bound is 16.7 - 24.6",
"AFG","SH.STA.OWAD.ZS","YR2013","Plausible bound is 17.2 - 25.4",
"AFG","SH.STA.OWAD.ZS","YR2014","Plausible bound is 17.7 - 26.2",
"AFG","SH.STA.OWAD.ZS","YR2015","Plausible bound is 18.1 - 27",
"AFG","SH.STA.OWAD.ZS","YR2016","Plausible bound is 18.5 - 27.8",
"AFG","SI.POV.NAHC","YR2007    ","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC","YR2011    ","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SI.POV.NAHC","YR2016","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute.",
"AFG","SL.TLF.0714.ZS","YR2011","Multiple Indicator Cluster Survey (MICS).",
"AFG","SP.UWT.TFRT","YR2015","Source: Afghanistan 2015 Demographic and Health Survey",
"AGO","IT.NET.USER.ZS","YR2007","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2008","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2009","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2010","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2011","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2012","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2013","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2014","Source: Instituto Nacional de Estatística.;Note: 2014 Census. Share of population aged 5+ accessing the Internet in the past 12 months.",
"AGO","IT.NET.USER.ZS","YR2015","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2016","Source: ITU estimate.",
"AGO","IT.NET.USER.ZS","YR2017","Source: ITU estimate.",
"AGO","SH.DYN.MORT","YR1980","Uncertainty bound is 181.2 - 311.3",
"AGO","SH.DYN.MORT","YR1981","Uncertainty bound is 184.8 - 298",
"AGO","SH.DYN.MORT","YR1982","Uncertainty bound is 187.1 - 286.9",
"AGO","SH.DYN.MORT","YR1983","Uncertainty bound is 188.7 - 277.8",
"AGO","SH.DYN.MORT","YR1984","Uncertainty bound is 190.8 - 270.1",
"AGO","SH.DYN.MORT","YR1985","Uncertainty bound is 192.2 - 264.2",
"AGO","SH.DYN.MORT","YR1986","Uncertainty bound is 193.4 - 259.5",
"AGO","SH.DYN.MORT","YR1987","Uncertainty bound is 194.4 - 255.8",
"AGO","SH.DYN.MORT","YR1988","Uncertainty bound is 195.3 - 253.8",
"AGO","SH.DYN.MORT","YR1989","Uncertainty bound is 195.9 - 252.5",
"AGO","SH.DYN.MORT","YR1990","Uncertainty bound is 196.8 - 251.3",
"AGO","SH.DYN.MORT","YR1991","Uncertainty bound is 197.3 - 251.2",
"AGO","SH.DYN.MORT","YR1992","Uncertainty bound is 197.7 - 250.4",
"AGO","SH.DYN.MORT","YR1993","Uncertainty bound is 197.6 - 250.3",
"AGO","SH.DYN.MORT","YR1994","Uncertainty bound is 197.3 - 249.9",
"AGO","SH.DYN.MORT","YR1995","Uncertainty bound is 196.2 - 249.2",
"AGO","SH.DYN.MORT","YR1996","Uncertainty bound is 194.2 - 247.4",
"AGO","SH.DYN.MORT","YR1997","Uncertainty bound is 191.6 - 245.2",
"AGO","SH.DYN.MORT","YR1998","Uncertainty bound is 187.9 - 242.1",
"AGO","SH.DYN.MORT","YR1999","Uncertainty bound is 183.8 - 238.2",
"AGO","SH.DYN.MORT","YR2000","Uncertainty bound is 178.6 - 233.7",
"AGO","SH.DYN.MORT","YR2001","Uncertainty bound is 172.7 - 228.2",
"AGO","SH.DYN.MORT","YR2002","Uncertainty bound is 166 - 221.4",
"AGO","SH.DYN.MORT","YR2003","Uncertainty bound is 157.7 - 213.4",
"AGO","SH.DYN.MORT","YR2004","Uncertainty bound is 148.7 - 204.9",
"AGO","SH.DYN.MORT","YR2005","Uncertainty bound is 139 - 196.7",
"AGO","SH.DYN.MORT","YR2006","Uncertainty bound is 128 - 189.5",
"AGO","SH.DYN.MORT","YR2007","Uncertainty bound is 116.9 - 183",
"AGO","SH.DYN.MORT","YR2008","Uncertainty bound is 105.5 - 177.1",
"AGO","SH.DYN.MORT","YR2009","Uncertainty bound is 94.2 - 171.4",
"AGO","SH.DYN.MORT","YR2010","Uncertainty bound is 83.3 - 166.8",
"AGO","SH.DYN.MORT","YR2011","Uncertainty bound is 73.5 - 162.9",
"AGO","SH.DYN.MORT","YR2012","Uncertainty bound is 64.8 - 159.1",
"AGO","SH.DYN.MORT","YR2013","Uncertainty bound is 57.2 - 156.1",
"AGO","SH.DYN.MORT","YR2014","Uncertainty bound is 51.6 - 152.5",
"AGO","SH.DYN.MORT","YR2015","Uncertainty bound is 46.6 - 149.6",
"AGO","SH.DYN.MORT","YR2016","Uncertainty bound is 42.6 - 146.4",
"AGO","SH.DYN.MORT","YR2017","Uncertainty bound is 39.7 - 143.7",
"AGO","SH.DYN.MORT","YR2018","Uncertainty bound is 36.9 - 141.1",
"AGO","SH.DYN.MORT","YR2019","Uncertainty bound is 34.6 - 139.3",
"AGO","SH.STA.OWAD.ZS","YR1975","Plausible bound is 5.2 - 12.3",
"AGO","SH.STA.OWAD.ZS","YR1976","Plausible bound is 5.5 - 12.5",
"AGO","SH.STA.OWAD.ZS","YR1977","Plausible bound is 5.7 - 12.6",
"AGO","SH.STA.OWAD.ZS","YR1978","Plausible bound is 6 - 12.9",
"AGO","SH.STA.OWAD.ZS","YR1979","Plausible bound is 6.3 - 13.1",
"AGO","SH.STA.OWAD.ZS","YR1980","Plausible bound is 6.7 - 13.4",
"AGO","SH.STA.OWAD.ZS","YR1981","Plausible bound is 6.9 - 13.6",
"AGO","SH.STA.OWAD.ZS","YR1982","Plausible bound is 7.3 - 13.9",
"AGO","SH.STA.OWAD.ZS","YR1983","Plausible bound is 7.6 - 14.2",
